Nom,Présentation,Statut juridique,Domaine(s),Région(s),Numéro SIREN,Fiche URSCOP,Adresse,Adhérent CoopTech,Notes,latitude,longitude,BAN_adress,BAN_adress_full,BAN_city,BAN_postcode
Expertise Technologies Maintenance Informatique,"Prestation de service, conseils, formation, vente de matériels, logiciels informatiques.",SCOP,,Normandie (FR),,https://www.les-scop.coop/expertise-technologies-maintenance-informatique?field_code_naf=&field_secteur_activite_structure=1872&page=2,,,,49.178457,-0.368442,Rue Fred Scamaroni,Rue Fred Scamaroni 14000 Caen,Caen,
Explo-It,Conseil en systèmes et logiciels informatiques.,SCOP,,Auvergne-Rhône-Alpes (FR),,https://www.les-scop.coop/explo-it,,,,45.337773,4.312641,Rue a C Afrique Fr Nord,Rue a C Afrique Fr Nord 43240 Saint-Just-Malmont,Saint-Just-Malmont,
Fairness,"Etude, conseil, accompagnement, organisation et suivi de projets informatiques et nouvelles technologies. Création et développement de sites internet...",SCOP,,Île-de-France (FR),,https://www.les-scop.coop/fairness?page=4,,,,48.847044,2.567443,Rue des Femmes de Fr,Rue des Femmes de Fr 93160 Noisy-le-Grand,Noisy-le-Grand,
Feelu,"Développement de logiciel, d'applications, de plateformes, création de support de communication. Animation de rencontres, formation, consulting",SCOP,,Occitanie (FR),,https://www.les-scop.coop/feelu?federation=federations/3/&field_code_naf=&page=7,,,,43.768257,2.003781,Rue C E Fr Italie 1943 1944,Rue C E Fr Italie 1943 1944 81300 Graulhet,Graulhet,
Gefiscope,Société de service-conseil informatique.,SCOP,,Nouvelle-Aquitaine (FR),,https://www.les-scop.coop/gefiscope?page=3,,,,44.766256,-1.1208,Allee d’Aquitaine,Allee d’Aquitaine 33740 Arès,Arès,
Happyculture,"Développement sites internet, Conseil/Accompagnement, formation.",SCOP,,Île-de-France (FR),,https://www.les-scop.coop/happyculture?federation=federations/3/&field_code_naf=&page=41,,,,48.847044,2.567443,Rue des Femmes de Fr,Rue des Femmes de Fr 93160 Noisy-le-Grand,Noisy-le-Grand,
Hashbang,"Services de conseil, d'ingénierie, de développement logiciels, d'hébergement, de maintenance (SAV) et de formation dans les domaines de l'informatique...",SCOP,,Auvergne-Rhône-Alpes (FR),,https://www.les-scop.coop/hashbang,,,,45.337773,4.312641,Rue a C Afrique Fr Nord,Rue a C Afrique Fr Nord 43240 Saint-Just-Malmont,Saint-Just-Malmont,
Heredis,Editeur de logiciels de généalogie.,SCOP,,Occitanie (FR),,https://www.les-scop.coop/heredis,,,,43.768257,2.003781,Rue C E Fr Italie 1943 1944,Rue C E Fr Italie 1943 1944 81300 Graulhet,Graulhet,
Hizkia,"Conception, développement , commercialisation de toute application informatique ou linguistique, formation achat,vente de matériel",SCOP,,Nouvelle-Aquitaine (FR),,https://www.les-scop.coop/hizkia?page=7,,,,44.766256,-1.1208,Allee d’Aquitaine,Allee d’Aquitaine 33740 Arès,Arès,
Hupstream,"Conseil, ingénierie, production informatique, logiciels libres",SCOP,,Île-de-France (FR),,https://www.les-scop.coop/hupstream?field_code_naf=&field_secteur_activite_structure=1867&page=6,,,,48.847044,2.567443,Rue des Femmes de Fr,Rue des Femmes de Fr 93160 Noisy-le-Grand,Noisy-le-Grand,
